time stamp,face id,anger,contempt,disgust,fear,joy,sadness,surprise,sentimentality,confusion,neutral,engagement,valence,attention,inner brow raise,brow raise,brow furrow,eye widen,cheek raise,lid tighten,nose wrinkle,upper lip raise,dimpler,lip corner depressor,chin raise,lip pucker,lip stretch,lip press,mouth open,jaw drop,lip suck,eye closure,smile,smirk,blink,blink rate,pitch,yaw,roll,brightness,interocular distance,topleft_x,topleft_y,bottomright_x,bottomright_y,outer_right_eye_X,outer_right_eye_Y,outer_left_eye_X,outer_left_eye_Y,nose_top_X,nose_top_Y,chin_top_X,chin_top_Y
0.000,0,0.17,1.97,1.82,0.70,2.01,1.67,1.00,0.74,0.63,92.16,55.50,-6.61,93.13,0.7028477433323861,4.4567251417785885,0.1986857779836284,2.557700789254159,4.052738079298288,17.611958157736808,3.7105019598267974,4.803836211785674,1.5911936648190022,3.3507823679223656,7.47305761417374,0,4.220472724176943,3.591184325395152,13.250813677199185,1.7845720282569526,5.4735695058479905,4.977131502702832,7.197708025593311,0.025581905152648687,3.6997046833857894,,-0.48,-0.02,-0.96,85.30,88.43,551.37,235.69,674.37,366.69,567.37,266.69,653.37,259.69,617.37,296.69,618.37,366.69
0.000,1,2.07,0.70,1.63,0.58,0.27,0.44,0.41,1.67,1.99,92.22,33.29,-6.93,91.62,1.5669728449871765,2.3726570959435778,5.097032309658825,2.281576166721061,3.6250217751227316,26.907833511941135,5.029064664663747,0.0237329689227046,3.0058447336778045,2.8223827854916452,1.7481882381252944,1.5077760084532201,3.492073559202254,1.249013027679175,10.369793263673781,1.8432771302340552,0,8.23786105774343,5.77424592461437,0.706096857553348,70.8633338115178,,2.80,3.02,1.84,84.22,117.02,900.85,140.62,1015.85,270.62,960.85,168.62,1037.85,168.62,995.85,196.62,1000.85,265.62
0.000,2,1.69,1.58,1.71,1.14,0.79,0.99,0.19,0.16,1.51,93.63,58.65,-3.99,89.72,0.7447906056372449,4.39765085761901,4.566936523471959,1.4969892362039539,6.6208585001947355,19.766703891567886,1.5331722733099014,1.8352726174518468,3.8857515705749393,4.428846514169127,7.569597390946001,0.011948861414566636,2.496610235888511,3.1891982684936373,6.259294572137296,4.324940711264499,2.9002496050670743,5.6546442080289125,5.140705576366745,2.1522612993139774,0.6068276348523796,,-6.95,6.08,-1.66,72.74,71.61,249.85,98.76,342.85,195.76,261.85,116.76,334.85,123.76,296.85,145.76,291.85,195.76
0.000,3,0.58,1.02,1.80,0.88,0.88,0.37,0.12,0.21,0.69,85.89,38.96,-4.28,91.43,0.14960518752224772,1.5235720654483886,4.4726637513143945,2.315963356755674,3.4284501116583126,40.1976067898795,6.167974416981451,5.178055762965233,1.822923444211483,2.414828764535487,2.1173484208993614,3.4658054900355637,4.063338089268655,0,8.027339295800775,3.383626936590299,0,0,7.846220989241265,2.1416995539329946,0.8396190698258579,,-2.50,-6.10,-5.32,71.79,73.48,248.69,99.20,341.69,196.20,260.69,117.20,333.69,124.20,295.69,146.20,290.69,196.20
0.067,0,0.93,1.16,1.84,1.75,1.83,1.57,1.68,0.22,1.09,94.45,47.77,-3.87,48.37,1.965472212433815,4.87319111241959,5.067368577374145,6.053802859392017,6.109398508789018,22.792771936859936,5.021824364620261,3.053495845720172,2.8456292571499944,1.8280264697223902,6.891605319455266,0,0,0,16.145374904107303,4.140096404729411,0,8.828937128651887,6.185903094885871,0,2.684811362531036,,0.90,0.10,-2.24,86.60,86.32,551.18,237.27,674.18,368.27,567.18,268.27,653.18,261.27,617.18,298.27,618.18,368.27
0.067,1,1.07,1.39,1.48,0.51,0.64,1.78,2.20,0.37,0.90,91.34,24.04,-3.97,91.69,3.421100685517304,0.2605038573732603,4.0915449143294245,5.1105383928399535,5.06862273610197,12.864233749452978,4.970949038933031,0.8009030636027457,4.7316423484589905,2.025852138288319,3.3154544248245656,2.891915291780606,0.8308250857517123,4.948488178811967,11.722770775463433,2.5054727695742622,2.3564605368301272,1.2710710219107568,3.182265015980229,4.6376435060519725,0,,2.29,4.47,2.08,84.20,122.81,899.92,138.69,1014.92,268.69,959.92,166.69,1036.92,166.69,994.92,194.69,999.92,263.69
0.067,2,1.85,2.06,1.43,1.94,1.31,0.84,2.12,1.65,0.50,93.23,52.90,-7.65,87.77,5.625714549925178,4.104797939537093,3.5505186671670526,6.877701073586941,8.257871412634849,14.898171247448772,0.9718693139031531,1.4182797586917877,0.7127160560339689,4.153714505452663,1.9895035475492477,3.438740578480065,4.73593164794147,0,9.004265405330807,0,2.264147381298244,1.330354327801615,5.650583173632622,3.5284395918715745,0,,-4.09,9.90,0.73,71.65,70.93,246.82,101.79,339.82,198.79,258.82,119.79,331.82,126.79,293.82,148.79,288.82,198.79
0.067,3,1.94,0.27,0.82,0.38,0.24,1.33,1.84,1.61,0.27,87.36,37.94,-3.61,89.09,5.119854185190052,4.54514524396509,5.773350412626751,3.6950961664691566,6.436734673888423,45.54176411777735,5.293643472180702,3.8239250099658966,0,3.2326518819853662,0,3.766693971119821,1.888771325815469,3.180256900591776,8.405345745552331,4.176498587951064,0.06006340915337205,3.240209215786308,7.5978805869957435,5.176576849306002,1.9649325397331268,,-1.89,-9.87,-4.34,74.85,73.80,247.75,98.29,340.75,195.29,259.75,116.29,332.75,123.29,294.75,145.29,289.75,195.29
0.133,0,0.98,0.96,0.13,1.71,0.03,1.56,1.46,1.36,1.70,94.35,56.54,-0.73,89.72,4.432253482211381,4.526588633283973,6.006526945899241,4.361162691172213,3.2178080787416548,25.3247065609321,1.096451973472722,0.7310833767428995,0.8075231756083667,5.085647656936199,1.003997577354312,0.17816952522844076,1.853023650124669,4.7959320758003745,15.534532184507697,1.872943407818675,5.850519408471882,9.840982302557677,5.503679546760395,2.136059552663937,1.1399191541131586,,4.66,-1.35,-3.49,88.51,84.62,549.37,236.57,672.37,367.57,565.37,267.57,651.37,260.57,615.37,297.57,616.37,367.57
0.133,1,0.29,1.46,0.53,0.42,0.31,0.04,0.08,1.37,1.59,92.36,35.21,-3.85,96.36,3.58372850922402,3.586410037917085,4.175813667578623,4.192766007268801,3.0168167721107606,45.877565919887275,1.7495931288460271,4.288208132181317,1.8962884747888893,4.921780942697078,5.187186355702579,6.538549782941118,6.967746931593865,2.9069743633456526,4.636870228294283,2.9396739098569378,0,4.181099208537489,2.623682354781777,3.960363489110023,57.2108756150119,,4.86,2.71,1.09,86.55,122.86,899.91,140.36,1014.91,270.36,959.91,168.36,1036.91,168.36,994.91,196.36,999.91,265.36
